model,split,class,precision,recall,f1,support
RF,train,Benign,0.9964022894521668,1.0,0.9981979030144168,6093
RF,train,IAD,0.39775910364145656,0.17317073170731706,0.2412914188615123,820
RF,train,LMEP,0.4855524079320113,0.8304263565891473,0.612799427958527,1032
RF,train,IMP,0.0,0.0,0.0,292
RF,val,Benign,0.9992202729044835,1.0,0.999609984399376,2563
RF,val,IAD,0.2413793103448276,0.1,0.1414141414141414,70
RF,val,LMEP,0.43537414965986393,0.7529411764705882,0.5517241379310345,85
RF,val,IMP,0.0,0.0,0.0,23
RF,test,Benign,0.9995468962392388,1.0,0.9997733967822343,2206
RF,test,IAD,0.41975308641975306,0.16666666666666666,0.23859649122807017,204
RF,test,LMEP,0.4988962472406181,0.8625954198473282,0.6321678321678321,262
RF,test,IMP,0.0,0.0,0.0,69
GCN,train,Benign,0.9880128313354719,0.9604464139176103,0.974034620505992,6093
GCN,train,IAD,0.5442020665901263,0.5780487804878048,0.560615020697812,820
GCN,train,LMEP,0.6317657497781721,0.689922480620155,0.6595646132468735,1032
GCN,train,IMP,0.4430379746835443,0.4794520547945205,0.4605263157894737,292
GCN,val,Benign,0.9987234042553191,0.9157237612173235,0.9554243842865866,2563
GCN,val,IAD,0.2945205479452055,0.6142857142857143,0.39814814814814814,70
GCN,val,LMEP,0.3333333333333333,0.611764705882353,0.4315352697095436,85
GCN,val,IMP,0.19101123595505617,0.7391304347826086,0.30357142857142855,23
GCN,test,Benign,0.9902865468674114,0.9242973708068903,0.9561547479484174,2206
GCN,test,IAD,0.5018587360594795,0.6617647058823529,0.5708245243128964,204
GCN,test,LMEP,0.5858585858585859,0.6641221374045801,0.6225402504472272,262
GCN,test,IMP,0.3448275862068966,0.5797101449275363,0.43243243243243246,69
Stacked,train,Benign,0.9983606557377049,0.999507631708518,0.9989338144837202,6093
Stacked,train,IAD,0.5951156812339332,0.5646341463414634,0.5794743429286608,820
Stacked,train,LMEP,0.7091469681397738,0.6686046511627907,0.6882793017456359,1032
Stacked,train,IMP,0.45595854922279794,0.6027397260273972,0.5191740412979351,292
Stacked,val,Benign,0.999609984399376,1.0,0.9998049541642285,2563
Stacked,val,IAD,0.6268656716417911,0.6,0.6131386861313869,70
Stacked,val,LMEP,0.7619047619047619,0.5647058823529412,0.6486486486486487,85
Stacked,val,IMP,0.3829787234042553,0.782608695652174,0.5142857142857142,23
Stacked,test,Benign,0.9995466908431551,0.9995466908431551,0.9995466908431551,2206
Stacked,test,IAD,0.6325581395348837,0.6666666666666666,0.649164677804296,204
Stacked,test,LMEP,0.7777777777777778,0.6145038167938931,0.6865671641791045,262
Stacked,test,IMP,0.4336283185840708,0.7101449275362319,0.5384615384615384,69
